,database_code,domain_name,database_group,language_code,language_name,status,visibility,editability,english_name,git_created_dt_x,git_closed_dt_x,git_created_dt_y,git_closed_dt_y,git_created_dt,git_closed_dt
219,etwikiquote,et.wikiquote.org,wikiquote,et,Estonian,open,public,public,Estonian Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
220,etwikisource,et.wikisource.org,wikisource,et,Estonian,open,public,public,Estonian Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
221,etwiktionary,et.wiktionary.org,wiktionary,et,Estonian,open,public,public,Estonian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
222,euwiki,eu.wikipedia.org,wikipedia,eu,Basque,open,public,public,Basque Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
223,euwikibooks,eu.wikibooks.org,wikibooks,eu,Basque,open,public,public,Basque Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
224,euwikiquote,eu.wikiquote.org,wikiquote,eu,Basque,open,public,public,Basque Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
225,euwikisource,eu.wikisource.org,wikisource,eu,Basque,open,public,public,Basque Wikisource,2018-03-13,,2018-03-13,,2018-03-13,
226,euwiktionary,eu.wiktionary.org,wiktionary,eu,Basque,open,public,public,Basque Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
227,extwiki,ext.wikipedia.org,wikipedia,ext,Extremaduran,open,public,public,Extremaduran Wikipedia,2012-05-08,,2012-05-08,,2012-05-08,
228,fatwiki,fat.wikipedia.org,wikipedia,fat,Fanti,open,public,public,Fante Wikipedia,2023-04-20,,2023-04-20,,2023-04-20,
229,fawiki,fa.wikipedia.org,wikipedia,fa,Persian,open,public,public,Persian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
230,fawikibooks,fa.wikibooks.org,wikibooks,fa,Persian,open,public,public,Persian Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
231,fawikinews,fa.wikinews.org,wikinews,fa,Persian,open,public,public,Persian Wikinews,2012-05-08,,2012-05-08,,2012-05-08,
232,fawikiquote,fa.wikiquote.org,wikiquote,fa,Persian,open,public,public,Persian Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
233,fawikisource,fa.wikisource.org,wikisource,fa,Persian,open,public,public,Persian Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
234,fawikivoyage,fa.wikivoyage.org,wikivoyage,fa,Persian,open,public,public,Persian Wikivoyage,2014-09-28,,2014-09-28,,2014-09-28,
235,fawiktionary,fa.wiktionary.org,wiktionary,fa,Persian,open,public,public,Persian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
236,ffwiki,ff.wikipedia.org,wikipedia,ff,Fula,open,public,public,Fulah Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
237,fiu_vrowiki,fiu-vro.wikipedia.org,wikipedia,fiu-vro,Võro,open,public,public,Võro Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
238,fiwiki,fi.wikipedia.org,wikipedia,fi,Finnish,open,public,public,Finnish Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
239,fiwikibooks,fi.wikibooks.org,wikibooks,fi,Finnish,open,public,public,Finnish Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
240,fiwikinews,fi.wikinews.org,wikinews,fi,Finnish,open,public,public,Finnish Wikinews,2012-05-08,,2012-05-08,,2012-05-08,
241,fiwikiquote,fi.wikiquote.org,wikiquote,fi,Finnish,open,public,public,Finnish Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
242,fiwikisource,fi.wikisource.org,wikisource,fi,Finnish,open,public,public,Finnish Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
243,fiwikiversity,fi.wikiversity.org,wikiversity,fi,Finnish,open,public,public,Finnish Wikiversity,2012-05-08,,2012-05-08,,2012-05-08,
244,fiwikivoyage,fi.wikivoyage.org,wikivoyage,fi,Finnish,open,public,public,Finnish Wikivoyage,2016-11-27,,2016-11-27,,2016-11-27,
245,fiwiktionary,fi.wiktionary.org,wiktionary,fi,Finnish,open,public,public,Finnish Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
246,fjwiki,fj.wikipedia.org,wikipedia,fj,Fijian,open,public,public,Fijian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
247,fjwiktionary,fj.wiktionary.org,wiktionary,fj,Fijian,open,public,public,Fijian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
248,fowiki,fo.wikipedia.org,wikipedia,fo,Faroese,open,public,public,Faroese Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
249,fowikisource,fo.wikisource.org,wikisource,fo,Faroese,open,public,public,Faroese Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
250,fowiktionary,fo.wiktionary.org,wiktionary,fo,Faroese,open,public,public,Faroese Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
251,frpwiki,frp.wikipedia.org,wikipedia,frp,Arpitan,open,public,public,Arpitan Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
252,frrwiki,frr.wikipedia.org,wikipedia,frr,Northern Frisian,open,public,public,Northern Frisian Wikipedia,2012-05-08,,2012-05-08,,2012-05-08,
253,frwiki,fr.wikipedia.org,wikipedia,fr,French,open,public,public,French Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
254,frwikibooks,fr.wikibooks.org,wikibooks,fr,French,open,public,public,French Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
255,frwikinews,fr.wikinews.org,wikinews,fr,French,open,public,public,French Wikinews,2012-02-24,,2012-02-24,,2012-02-24,
256,frwikiquote,fr.wikiquote.org,wikiquote,fr,French,open,public,public,French Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
257,frwikisource,fr.wikisource.org,wikisource,fr,French,open,public,public,French Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
258,frwikiversity,fr.wikiversity.org,wikiversity,fr,French,open,public,public,French Wikiversity,2012-02-24,,2012-02-24,,2012-02-24,
259,frwikivoyage,fr.wikivoyage.org,wikivoyage,fr,French,open,public,public,French Wikivoyage,2012-11-06,,2012-11-06,,2012-11-06,
260,frwiktionary,fr.wiktionary.org,wiktionary,fr,French,open,public,public,French Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
261,furwiki,fur.wikipedia.org,wikipedia,fur,Friulian,open,public,public,Friulian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
262,fywiki,fy.wikipedia.org,wikipedia,fy,Western Frisian,open,public,public,Western Frisian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
263,fywikibooks,fy.wikibooks.org,wikibooks,fy,Western Frisian,open,public,public,Western Frisian Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
264,fywiktionary,fy.wiktionary.org,wiktionary,fy,Western Frisian,open,public,public,Western Frisian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
265,gagwiki,gag.wikipedia.org,wikipedia,gag,Gagauz,open,public,public,Gagauz Wikipedia,2012-05-08,,2012-05-08,,2012-05-08,
266,ganwiki,gan.wikipedia.org,wikipedia,gan,Gan Chinese,open,public,public,Gan Chinese Wikipedia,2012-05-08,,2012-05-08,,2012-05-08,
267,gawiki,ga.wikipedia.org,wikipedia,ga,Irish,open,public,public,Irish Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
268,gawikibooks,ga.wikibooks.org,wikibooks,ga,Irish,closed,public,public,Irish Wikibooks,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
269,gawikiquote,ga.wikiquote.org,wikiquote,ga,Irish,closed,public,public,Irish Wikiquote,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
270,gawiktionary,ga.wiktionary.org,wiktionary,ga,Irish,open,public,public,Irish Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
271,gcrwiki,gcr.wikipedia.org,wikipedia,gcr,Guianan Creole,open,public,public,Guianan Creole Wikipedia,2019-11-20,,2019-11-20,,2019-11-20,
272,gdwiki,gd.wikipedia.org,wikipedia,gd,Scottish Gaelic,open,public,public,Scottish Gaelic Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
273,gdwiktionary,gd.wiktionary.org,wiktionary,gd,Scottish Gaelic,open,public,public,Scottish Gaelic Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
274,glkwiki,glk.wikipedia.org,wikipedia,glk,Gilaki,open,public,public,Gilaki Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
275,glwiki,gl.wikipedia.org,wikipedia,gl,Galician,open,public,public,Galician Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
276,glwikibooks,gl.wikibooks.org,wikibooks,gl,Galician,open,public,public,Galician Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
277,glwikiquote,gl.wikiquote.org,wikiquote,gl,Galician,open,public,public,Galician Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
278,glwikisource,gl.wikisource.org,wikisource,gl,Galician,open,public,public,Galician Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
279,glwiktionary,gl.wiktionary.org,wiktionary,gl,Galician,open,public,public,Galician Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
280,gnwiki,gn.wikipedia.org,wikipedia,gn,Guarani,open,public,public,Guarani Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
281,gnwikibooks,gn.wikibooks.org,wikibooks,gn,Guarani,closed,public,public,Guarani Wikibooks,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
282,gnwiktionary,gn.wiktionary.org,wiktionary,gn,Guarani,open,public,public,Guarani Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
283,gomwiki,gom.wikipedia.org,wikipedia,gom,Goan Konkani,open,public,public,Goan Konkani Wikipedia,2015-04-24,,2015-04-24,,2015-04-24,
284,gomwiktionary,gom.wiktionary.org,wiktionary,gom,Goan Konkani,open,public,public,Goan Konkani Wiktionary,2020-04-20,,2020-04-20,,2020-04-20,
285,gorwiki,gor.wikipedia.org,wikipedia,gor,Gorontalo,open,public,public,Gorontalo Wikipedia,2018-03-07,,2018-03-07,,2018-03-07,
286,gorwiktionary,gor.wiktionary.org,wiktionary,gor,Gorontalo,open,public,public,Gorontalo Wiktionary,2023-01-04,,2023-01-04,,2023-01-04,
287,gotwiki,got.wikipedia.org,wikipedia,got,Gothic,open,public,public,Gothic Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
288,gotwikibooks,got.wikibooks.org,wikibooks,got,Gothic,closed,public,public,Gothic Wikibooks,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
289,gucwiki,guc.wikipedia.org,wikipedia,guc,Wayuu,open,public,public,Wayuu Wikipedia,2023-02-27,,2023-02-27,,2023-02-27,
290,gurwiki,gur.wikipedia.org,wikipedia,gur,Frafra,open,public,public,Farefare Wikipedia,2023-02-27,,2023-02-27,,2023-02-27,
291,guwiki,gu.wikipedia.org,wikipedia,gu,Gujarati,open,public,public,Gujarati Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
292,guwikibooks,gu.wikibooks.org,wikibooks,gu,Gujarati,closed,public,public,Gujarati Wikibooks,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
293,guwikiquote,gu.wikiquote.org,wikiquote,gu,Gujarati,open,public,public,Gujarati Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
294,guwikisource,gu.wikisource.org,wikisource,gu,Gujarati,open,public,public,Gujarati Wikisource,2012-05-08,,2012-05-08,,2012-05-08,
295,guwiktionary,gu.wiktionary.org,wiktionary,gu,Gujarati,open,public,public,Gujarati Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
296,guwwiki,guw.wikipedia.org,wikipedia,guw,Gun,open,public,public,Gun Wikipedia,2022-03-17,,2022-03-17,,2022-03-17,
297,guwwikinews,guw.wikinews.org,wikinews,guw,Gun,open,public,public,Gun Wikinews,2023-04-10,,2023-04-10,,2023-04-10,
298,guwwikiquote,guw.wikiquote.org,wikiquote,guw,Gun,open,public,public,Gun Wikiquote,2023-01-04,,2023-01-04,,2023-01-04,
299,guwwiktionary,guw.wiktionary.org,wiktionary,guw,Gun,open,public,public,Gun Wiktionary,2022-07-19,,2022-07-19,,2022-07-19,
300,gvwiki,gv.wikipedia.org,wikipedia,gv,Manx,open,public,public,Manx Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
301,gvwiktionary,gv.wiktionary.org,wiktionary,gv,Manx,open,public,public,Manx Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
302,hakwiki,hak.wikipedia.org,wikipedia,hak,Hakka Chinese,open,public,public,Hakka Chinese Wikipedia,2012-05-08,,2012-05-08,,2012-05-08,
303,hawiki,ha.wikipedia.org,wikipedia,ha,Hausa,open,public,public,Hausa Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
304,hawiktionary,ha.wiktionary.org,wiktionary,ha,Hausa,open,public,public,Hausa Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
305,hawwiki,haw.wikipedia.org,wikipedia,haw,Hawaiian,open,public,public,Hawaiian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
306,hewiki,he.wikipedia.org,wikipedia,he,Hebrew,open,public,public,Hebrew Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
307,hewikibooks,he.wikibooks.org,wikibooks,he,Hebrew,open,public,public,Hebrew Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
308,hewikinews,he.wikinews.org,wikinews,he,Hebrew,open,public,public,Hebrew Wikinews,2012-02-24,,2012-02-24,,2012-02-24,
309,hewikiquote,he.wikiquote.org,wikiquote,he,Hebrew,open,public,public,Hebrew Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
310,hewikisource,he.wikisource.org,wikisource,he,Hebrew,open,public,public,Hebrew Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
311,hewikivoyage,he.wikivoyage.org,wikivoyage,he,Hebrew,open,public,public,Hebrew Wikivoyage,2013-03-27,,2013-03-27,,2013-03-27,
312,hewiktionary,he.wiktionary.org,wiktionary,he,Hebrew,open,public,public,Hebrew Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
313,hifwiki,hif.wikipedia.org,wikipedia,hif,Fiji Hindi,open,public,public,Fiji Hindi Wikipedia,2012-05-08,,2012-05-08,,2012-05-08,
314,hifwiktionary,hif.wiktionary.org,wiktionary,hif,Fiji Hindi,open,public,public,Fiji Hindi Wiktionary,2017-08-20,,2017-08-20,,2017-08-20,
315,hiwiki,hi.wikipedia.org,wikipedia,hi,Hindi,open,public,public,Hindi Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
316,hiwikibooks,hi.wikibooks.org,wikibooks,hi,Hindi,open,public,public,Hindi Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
317,hiwikiquote,hi.wikiquote.org,wikiquote,hi,Hindi,open,public,public,Hindi Wikiquote,2017-08-29,,2017-08-29,,2017-08-29,
318,hiwikisource,hi.wikisource.org,wikisource,hi,Hindi,open,public,public,Hindi Wikisource,2019-03-22,,2019-03-22,,2019-03-22,
319,hiwikiversity,hi.wikiversity.org,wikiversity,hi,Hindi,open,public,public,Hindi Wikiversity,2017-07-31,,2017-07-31,,2017-07-31,
320,hiwikivoyage,hi.wikivoyage.org,wikivoyage,hi,Hindi,open,public,public,Hindi Wikivoyage,2017-08-10,,2017-08-10,,2017-08-10,
321,hiwiktionary,hi.wiktionary.org,wiktionary,hi,Hindi,open,public,public,Hindi Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
322,howiki,ho.wikipedia.org,wikipedia,ho,Hiri Motu,closed,public,public,Hiri Motu Wikipedia,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
323,hrwiki,hr.wikipedia.org,wikipedia,hr,Croatian,open,public,public,Croatian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
324,hrwikibooks,hr.wikibooks.org,wikibooks,hr,Croatian,open,public,public,Croatian Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
325,hrwikiquote,hr.wikiquote.org,wikiquote,hr,Croatian,open,public,public,Croatian Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
326,hrwikisource,hr.wikisource.org,wikisource,hr,Croatian,open,public,public,Croatian Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
327,hrwiktionary,hr.wiktionary.org,wiktionary,hr,Croatian,open,public,public,Croatian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
328,hsbwiki,hsb.wikipedia.org,wikipedia,hsb,Upper Sorbian,open,public,public,Upper Sorbian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
329,hsbwiktionary,hsb.wiktionary.org,wiktionary,hsb,Upper Sorbian,open,public,public,Upper Sorbian Wiktionary,2012-05-08,,2012-05-08,,2012-05-08,
330,htwiki,ht.wikipedia.org,wikipedia,ht,Haitian Creole,open,public,public,Haitian Creole Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
331,htwikisource,ht.wikisource.org,wikisource,ht,Haitian Creole,closed,public,public,Haitian Creole Wikisource,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
332,huwiki,hu.wikipedia.org,wikipedia,hu,Hungarian,open,public,public,Hungarian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
333,huwikibooks,hu.wikibooks.org,wikibooks,hu,Hungarian,open,public,public,Hungarian Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
334,huwikinews,hu.wikinews.org,wikinews,hu,Hungarian,closed,public,public,Hungarian Wikinews,2012-05-08,2012-02-24,2012-05-08,2012-02-24,2012-05-08,2012-02-24
335,huwikiquote,hu.wikiquote.org,wikiquote,hu,Hungarian,open,public,public,Hungarian Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
336,huwikisource,hu.wikisource.org,wikisource,hu,Hungarian,open,public,public,Hungarian Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
337,huwiktionary,hu.wiktionary.org,wiktionary,hu,Hungarian,open,public,public,Hungarian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
338,hywiki,hy.wikipedia.org,wikipedia,hy,Armenian,open,public,public,Armenian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
339,hywikibooks,hy.wikibooks.org,wikibooks,hy,Armenian,open,public,public,Armenian Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
340,hywikiquote,hy.wikiquote.org,wikiquote,hy,Armenian,open,public,public,Armenian Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
341,hywikisource,hy.wikisource.org,wikisource,hy,Armenian,open,public,public,Armenian Wikisource,2012-05-08,,2012-05-08,,2012-05-08,
342,hywiktionary,hy.wiktionary.org,wiktionary,hy,Armenian,open,public,public,Armenian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
343,hywwiki,hyw.wikipedia.org,wikipedia,hyw,Western Armenian,open,public,public,Western Armenian Wikipedia,2019-03-30,,2019-03-30,,2019-03-30,
344,hzwiki,hz.wikipedia.org,wikipedia,hz,Herero,closed,public,public,Herero Wikipedia,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
345,iawiki,ia.wikipedia.org,wikipedia,ia,Interlingua,open,public,public,Interlingua Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
346,iawikibooks,ia.wikibooks.org,wikibooks,ia,Interlingua,open,public,public,Interlingua Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
347,iawiktionary,ia.wiktionary.org,wiktionary,ia,Interlingua,open,public,public,Interlingua Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
348,idwiki,id.wikipedia.org,wikipedia,id,Indonesian,open,public,public,Indonesian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
349,idwikibooks,id.wikibooks.org,wikibooks,id,Indonesian,open,public,public,Indonesian Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
350,idwikiquote,id.wikiquote.org,wikiquote,id,Indonesian,open,public,public,Indonesian Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
351,idwikisource,id.wikisource.org,wikisource,id,Indonesian,open,public,public,Indonesian Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
352,idwiktionary,id.wiktionary.org,wiktionary,id,Indonesian,open,public,public,Indonesian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
353,iewiki,ie.wikipedia.org,wikipedia,ie,Interlingue,open,public,public,Interlingue Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
354,iewikibooks,ie.wikibooks.org,wikibooks,ie,Interlingue,closed,public,public,Interlingue Wikibooks,2012-02-24,2014-12-17,2012-02-24,2014-12-17,2012-02-24,2014-12-17
355,iewiktionary,ie.wiktionary.org,wiktionary,ie,Interlingue,open,public,public,Interlingue Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
356,igwiki,ig.wikipedia.org,wikipedia,ig,Igbo,open,public,public,Igbo Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
357,igwikiquote,ig.wikiquote.org,wikiquote,ig,Igbo,open,public,public,Igbo Wikiquote,2022-10-10,,2022-10-10,,2022-10-10,
358,igwiktionary,ig.wiktionary.org,wiktionary,ig,Igbo,open,public,public,Igbo Wiktionary,2022-10-10,,2022-10-10,,2022-10-10,
359,iiwiki,ii.wikipedia.org,wikipedia,ii,Sichuan Yi,closed,public,public,Sichuan Yi Wikipedia,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
360,ikwiki,ik.wikipedia.org,wikipedia,ik,Inupiaq,open,public,public,Inupiaq Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
361,ikwiktionary,ik.wiktionary.org,wiktionary,ik,Inupiaq,closed,public,public,Inupiaq Wiktionary,2012-02-24,2013-01-09,2012-02-24,2013-01-09,2012-02-24,2013-01-09
362,ilowiki,ilo.wikipedia.org,wikipedia,ilo,Iloko,open,public,public,Iloko Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
363,inhwiki,inh.wikipedia.org,wikipedia,inh,Ingush,open,public,public,Ingush Wikipedia,2018-01-07,,2018-01-07,,2018-01-07,
364,iowiki,io.wikipedia.org,wikipedia,io,Ido,open,public,public,Ido Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
365,iowiktionary,io.wiktionary.org,wiktionary,io,Ido,open,public,public,Ido Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
366,iswiki,is.wikipedia.org,wikipedia,is,Icelandic,open,public,public,Icelandic Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
367,iswikibooks,is.wikibooks.org,wikibooks,is,Icelandic,open,public,public,Icelandic Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
368,iswikiquote,is.wikiquote.org,wikiquote,is,Icelandic,open,public,public,Icelandic Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
369,iswikisource,is.wikisource.org,wikisource,is,Icelandic,open,public,public,Icelandic Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
370,iswiktionary,is.wiktionary.org,wiktionary,is,Icelandic,open,public,public,Icelandic Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
371,itwiki,it.wikipedia.org,wikipedia,it,Italian,open,public,public,Italian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
372,itwikibooks,it.wikibooks.org,wikibooks,it,Italian,open,public,public,Italian Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
373,itwikinews,it.wikinews.org,wikinews,it,Italian,open,public,public,Italian Wikinews,2012-02-24,,2012-02-24,,2012-02-24,
374,itwikiquote,it.wikiquote.org,wikiquote,it,Italian,open,public,public,Italian Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
375,itwikisource,it.wikisource.org,wikisource,it,Italian,open,public,public,Italian Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
376,itwikiversity,it.wikiversity.org,wikiversity,it,Italian,open,public,public,Italian Wikiversity,2012-05-08,,2012-05-08,,2012-05-08,
377,itwikivoyage,it.wikivoyage.org,wikivoyage,it,Italian,open,public,public,Italian Wikivoyage,2012-11-06,,2012-11-06,,2012-11-06,
378,itwiktionary,it.wiktionary.org,wiktionary,it,Italian,open,public,public,Italian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
379,iuwiki,iu.wikipedia.org,wikipedia,iu,Inuktitut,open,public,public,Inuktitut Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
380,iuwiktionary,iu.wiktionary.org,wiktionary,iu,Inuktitut,open,public,public,Inuktitut Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
381,jamwiki,jam.wikipedia.org,wikipedia,jam,Jamaican Creole English,open,public,public,Jamaican Patois Wikipedia,2016-04-29,,2016-04-29,,2016-04-29,
382,jawiki,ja.wikipedia.org,wikipedia,ja,Japanese,open,public,public,Japanese Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
383,jawikibooks,ja.wikibooks.org,wikibooks,ja,Japanese,open,public,public,Japanese Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
384,jawikinews,ja.wikinews.org,wikinews,ja,Japanese,open,public,public,Japanese Wikinews,2012-02-24,,2012-02-24,,2012-02-24,
385,jawikiquote,ja.wikiquote.org,wikiquote,ja,Japanese,open,public,public,Japanese Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
386,jawikisource,ja.wikisource.org,wikisource,ja,Japanese,open,public,public,Japanese Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
387,jawikiversity,ja.wikiversity.org,wikiversity,ja,Japanese,open,public,public,Japanese Wikiversity,2012-05-08,,2012-05-08,,2012-05-08,
388,jawikivoyage,ja.wikivoyage.org,wikivoyage,ja,Japanese,open,public,public,Japanese Wikivoyage,2020-08-27,,2020-08-27,,2020-08-27,
389,jawiktionary,ja.wiktionary.org,wiktionary,ja,Japanese,open,public,public,Japanese Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
390,jbowiki,jbo.wikipedia.org,wikipedia,jbo,Lojban,open,public,public,Lojban Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
391,jbowiktionary,jbo.wiktionary.org,wiktionary,jbo,Lojban,open,public,public,Lojban Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
392,jvwiki,jv.wikipedia.org,wikipedia,jv,Javanese,open,public,public,Javanese Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
393,jvwikisource,jv.wikisource.org,wikisource,jv,Javanese,open,public,public,Javanese Wikisource,2021-08-04,,2021-08-04,,2021-08-04,
394,jvwiktionary,jv.wiktionary.org,wiktionary,jv,Javanese,open,public,public,Javanese Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
395,kaawiki,kaa.wikipedia.org,wikipedia,kaa,Kara-Kalpak,open,public,public,Kara-Kalpak Wikipedia,2012-05-08,,2012-05-08,,2012-05-08,
396,kabwiki,kab.wikipedia.org,wikipedia,kab,Kabyle,open,public,public,Kabyle Wikipedia,2012-05-08,,2012-05-08,,2012-05-08,
397,kawiki,ka.wikipedia.org,wikipedia,ka,Georgian,open,public,public,Georgian Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
398,kawikibooks,ka.wikibooks.org,wikibooks,ka,Georgian,open,public,public,Georgian Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
399,kawikiquote,ka.wikiquote.org,wikiquote,ka,Georgian,open,public,public,Georgian Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
400,kawiktionary,ka.wiktionary.org,wiktionary,ka,Georgian,open,public,public,Georgian Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
